rocauc,<settings_file>,show,<labeled_tweets>,--no-TA,--count,--clf,--reduce-func,<track_file>,--begin-line,mood,--k-features,-m,label,-u,<input_dir>,list_friends,-p,tweets,<input_tweets>,--stopwords,--n-folds,--clf-options,--features-func,users,benchmark,--no-rt,--binary,--top-features,--liwc,--n-examples,<output_dir>,<user_ids_file>,collect_tweets,--min-df,filter,collect,--emoticons,--each,--no-DD,--no-AH,--help,<output_tweets>
0.71066591006458768,,False,/data/1/sporty/nort/3K_labeled,False,3200,svm,,[],0,True,240,False,False,False,,False,False,False,,,10,"{""kernel"":""linear"",""class_weight"":""auto""}",,False,True,False,False,True,,30,,,False,3,False,False,,False,False,False,False,
0.65558189766792885,,False,/data/1/sporty/nort/3K_labeled,False,3200,svm,,[],0,True,720,False,False,False,,False,False,False,,,10,"{""kernel"":""linear"",""class_weight"":""auto""}",,False,True,False,False,True,,30,,,False,3,False,False,,False,False,False,False,
0.7132461432736954,,False,/data/1/sporty/nort/3K_labeled,False,3200,svm,,[],0,True,320,False,False,False,,False,False,False,,,10,"{""kernel"":""linear"",""class_weight"":""auto""}",,False,True,False,False,True,,30,,,False,3,False,False,,False,False,False,False,
0.7027374446664294,,False,/data/1/sporty/nort/3K_labeled,False,3200,svm,,[],0,True,400,False,False,False,,False,False,False,,,10,"{""kernel"":""linear"",""class_weight"":""auto""}",,False,True,False,False,True,,30,,,False,3,False,False,,False,False,False,False,
0.68210680385876687,,False,/data/1/sporty/nort/3K_labeled,False,3200,svm,,[],0,True,480,False,False,False,,False,False,False,,,10,"{""kernel"":""linear"",""class_weight"":""auto""}",,False,True,False,False,True,,30,,,False,3,False,False,,False,False,False,False,
0.67520250845571139,,False,/data/1/sporty/nort/3K_labeled,False,3200,svm,,[],0,True,560,False,False,False,,False,False,False,,,10,"{""kernel"":""linear"",""class_weight"":""auto""}",,False,True,False,False,True,,30,,,False,3,False,False,,False,False,False,False,
0.57652787462954158,,False,/data/1/sporty/nort/3K_labeled,False,3200,naive-bayes,,[],0,True,800,False,False,False,,False,False,False,,,10,,,False,True,False,False,True,../inputs/liwc.dic,30,,,False,3,False,False,,False,False,False,False,
0.5859487406105397,,False,/data/1/sporty/nort/3K_labeled,False,3200,naive-bayes,,[],0,True,640,False,False,False,,False,False,False,,,10,,,False,True,False,False,True,../inputs/liwc.dic,30,,,False,3,False,False,,False,False,False,False,
0.63117762845135761,,False,/data/1/sporty/nort/3K_labeled,False,3200,naive-bayes,,[],0,True,80,False,False,False,,False,False,False,,,10,,,False,True,False,False,True,../inputs/liwc.dic,30,,,False,3,False,False,,False,False,False,False,
0.57977527298129317,,False,/data/1/sporty/nort/3K_labeled,False,3200,naive-bayes,,[],0,True,160,False,False,False,,False,False,False,,,10,,,False,True,False,False,True,../inputs/liwc.dic,30,,,False,3,False,False,,False,False,False,False,
0.56806084121141287,,False,/data/1/sporty/nort/3K_labeled,False,3200,naive-bayes,,[],0,True,240,False,False,False,,False,False,False,,,10,,,False,True,False,False,True,../inputs/liwc.dic,30,,,False,3,False,False,,False,False,False,False,
0.58472925273896481,,False,/data/1/sporty/nort/3K_labeled,False,3200,naive-bayes,,[],0,True,720,False,False,False,,False,False,False,,,10,,,False,True,False,False,True,../inputs/liwc.dic,30,,,False,3,False,False,,False,False,False,False,
0.53490521379555678,,False,/data/1/sporty/nort/3K_labeled,False,3200,naive-bayes,,[],0,True,320,False,False,False,,False,False,False,,,10,,,False,True,False,False,True,../inputs/liwc.dic,30,,,False,3,False,False,,False,False,False,False,
0.564711133985483,,False,/data/1/sporty/nort/3K_labeled,False,3200,naive-bayes,,[],0,True,400,False,False,False,,False,False,False,,,10,,,False,True,False,False,True,../inputs/liwc.dic,30,,,False,3,False,False,,False,False,False,False,
