users,tweets,show,rocauc,rec,prec,mood,list_friends,label,filter,f1,collect_tweets,collect,benchmark,acc,<user_ids_file>,<track_file>,<settings_file>,<output_tweets>,<output_dir>,<labeled_tweets>,<input_tweets>,<input_dir>,-u,-p,-m,--top-features,--stopwords,--roc,--reduce-func,--proba,--no-rt,--no-TA,--no-DD,--no-AH,--n-folds,--n-examples,--min-df,--liwc,--k-features,--help,--features-func,--emoticons,--each,--count,--clf-options,--clf,--binary,--begin-line
False,False,False,0.562815012856,0.926435786436,0.153722251671,True,False,False,False,0.262710886409,False,False,True,0.300308641975,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,None,0.06,False,False,False,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.744993344581,0.622309651133,0.426173698045,True,False,False,False,0.502741681134,False,False,True,0.834413580247,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,None,0.52,False,False,False,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.730776557977,0.554872251931,0.483549619373,True,False,False,False,0.512240894491,False,False,True,0.858641975309,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,None,0.67,False,False,False,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.730556122445,0.787276971395,0.280358141862,True,False,False,False,0.412205137154,False,False,True,0.692438271605,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,None,0.24,False,False,False,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.745792497365,0.620348866819,0.432813762021,True,False,False,False,0.506700817723,False,False,True,0.837191358025,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,None,0.53,False,False,False,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.64053676035,0.314265766913,0.585016952357,True,False,False,False,0.403240387823,False,False,True,0.877777777778,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,None,0.94,False,False,False,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.716849760348,0.813795942619,0.25742975649,True,False,False,False,0.390247995511,False,False,True,0.650308641975,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,None,0.21,False,False,False,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.667700298469,0.378971224854,0.570172461403,True,False,False,False,0.449651515188,False,False,True,0.877932098765,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,None,0.89,False,False,False,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.726323212383,0.790218147865,0.274204055461,True,False,False,False,0.40600538514,False,False,True,0.683179012346,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,None,0.23,False,False,False,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.748473477969,0.670083184789,0.379665901838,True,False,False,False,0.482033618558,False,False,True,0.806481481481,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,None,0.4,False,False,False,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
