users,tweets,show,rocauc,rec,prec,most_similar,mood,list_friends,label,filter,f1,collect_tweets,collect,benchmark,acc,<users_dir>,<user_ids_file>,<track_file>,<settings_file>,<output_tweets>,<output_dir>,<labeled_tweets>,<input_tweets>,<input_dir>,<friends_dir>,-u,-p,-m,--top-features,--stopwords,--roc,--reduce-func,--proba,--no-rt,--n-folds,--n-examples,--min-df,--liwc,--k-features,--help,--features-func,--emoticons,--each,--count,--clf-options,--clf,--binary,--begin-line
False,False,False,0.687314097295,0.431605721194,0.551044377213,False,True,False,False,False,0.479101844092,False,False,True,0.87325919569,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.43,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.70049826535,0.469182960144,0.529822968633,False,True,False,False,False,0.493221428116,False,False,True,0.869035018713,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.36,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.69228098502,0.443021039875,0.552112205865,False,True,False,False,False,0.486844749473,False,False,True,0.87353989368,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.41,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.660196369376,0.36056320919,0.586544930012,False,True,False,False,False,0.441852870345,False,False,True,0.878053708074,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.59,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.647453875014,0.328631264043,0.601939902222,False,True,False,False,False,0.420204548763,False,False,True,0.87903942883,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.68,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.719855614843,0.5225134105,0.505251769685,False,True,False,False,False,0.50963707659,False,False,True,0.86396695988,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.29,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.732353314553,0.764891168953,0.304345327277,False,True,False,False,False,0.432778442313,False,False,True,0.712579560895,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.07,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.758617217245,0.715820457125,0.370210204358,False,True,False,False,False,0.486597803221,False,False,True,0.791160099168,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.09,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.553539654594,0.949849789381,0.151814327328,False,True,False,False,False,0.261377226164,False,False,True,0.270102386231,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.01,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.688954325935,0.435710283422,0.550158549047,False,True,False,False,False,0.481339470084,False,False,True,0.873117952752,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.42,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.663811920482,0.369603326583,0.58467503695,False,True,False,False,False,0.448146469225,False,False,True,0.87777181816,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.57,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.613281092692,0.245360969217,0.679892296672,False,True,False,False,False,0.353870546085,False,False,True,0.880305847577,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.85,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.658716305676,0.356787465483,0.589066338207,False,True,False,False,False,0.439482343223,False,False,True,0.878336789912,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.6,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.739678934352,0.590144883966,0.464752604868,False,True,False,False,False,0.516220846728,False,False,True,0.849324775322,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.2,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.665985932905,0.374608789712,0.58544734497,False,True,False,False,False,0.451827295967,False,False,True,0.877911869174,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.56,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.65735529722,0.353231277716,0.591629042,False,True,False,False,False,0.437538776144,False,False,True,0.878478628811,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.61,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.676232245427,0.400737920074,0.572864617746,False,True,False,False,False,0.467195103169,False,False,True,0.876641874657,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.51,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.631743541219,0.289848568624,0.634871743012,False,True,False,False,False,0.392188376759,False,False,True,0.879882714725,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.77,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.656176590083,0.350549750035,0.591032038952,False,True,False,False,False,0.435216260945,False,False,True,0.878337385873,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.62,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.546864868437,0.100842172925,0.694563492063,False,True,False,False,False,0.172884189797,False,False,True,0.870445660206,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.99,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.625897536776,0.273034307931,0.675476563484,False,True,False,False,False,0.382425683948,False,False,True,0.881856540084,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.81,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.760570493939,0.692466571643,0.397013072787,False,True,False,False,False,0.502721837379,False,False,True,0.811295859258,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.11,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.679547789135,0.409495418992,0.568577972305,False,True,False,False,False,0.47180861212,False,False,True,0.875938043815,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.49,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.643413261457,0.316439667412,0.624096696765,False,True,False,False,False,0.415522439543,False,False,True,0.880727788505,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.72,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
